;genus;BF1;BF2;BF3;BF4
1;Aedes;0;0;3;0
2;Aelosoma;0;0;3;0
3;Alepia;0;0;3;0
4;Alona;0;0;0;3
5;Anopheles;0;0;3;0
6;Anopheles_or_Wyeomia_or_Culex;0;0;3;0
7;Apocyclops;0;0;0;3
8;Atrichopogon;0;0;3;0
9;Aulacigaster;0;0;0;3
10;Aulophorus;0;0;3;0
11;Bezzia;0;0;3;0
12;Boreochlus;0;0;3;0
13;Brachypremna;0;0;3;0
14;Bromeliagrion;3;0;0;0
15;Bryocamptus;0;0;0;3
16;Callistocypris;0;0;0;3
17;Candonopsis;0;0;0;3
18;Celina;0;0;3;0
19;Ceriodaphnia;0;0;0;3
20;Cheilotrichia;0;0;3;0
21;Chironomus;0;0;3;0
22;Contacyphon;0;3;0;0
23;Copelatus;0;0;3;0
24;Copestylum;0;0;1;2
25;Corethrella;0;0;3;0
26;Corynoneura;0;0;3;0
27;Culex;0;0;3;0
28;Culicoides;0;0;3;0
29;Dasyhelea;0;0;3;0
30;Dero;0;0;3;0
31;Dilobitarsus;0;0;3;0
32;Dipropus;0;0;3;0
33;Elpidium;0;0;0;3
34;Eristalis;0;0;1;2
35;Eukiefferiella;0;0;3;0
36;Eutrigaster;0;0;3;0
37;Fidena;0;0;3;0
38;Forcipomyia;0;0;3;0
39;Forcypomyia;0;0;3;0
40;Gravatamberus;0;0;3;0
41;Haemagogus;0;0;3;0
42;Harnischia;0;0;3;0
43;Helobdella;3;0;0;0
44;Hermetia;0;0;3;0
45;Larsia;0;0;3;0
46;Latinopsis;0;0;0;3
47;Lejops;0;0;1;2
48;Leptagrion;0;0;3;0
49;Leucotabanus;0;0;3;0
50;Limatus;0;0;3;0
51;Limnophyes;0;0;3;0
52;Limonia;0;0;3;0
53;Mecistogaster;0;0;3;0
54;Meromacrus;0;0;1;2
55;Metriocnemus;0;0;3;0
56;Microvelia;0;3;0;0
57;Monopelopia;0;0;3;0
59;Neotrigaster;0;0;3;0
60;Ocyptamus;0;0;1;2
61;Olbiogaster;0;0;3;0
62;Omicrus;NA;NA;NA;NA
63;Ormosia;0;0;3;0
64;Orthopodomyia;0;0;3;0
65;Palpada;0;0;1;2
66;Paratanytarsus;0;0;3;0
67;Paravelia;0;0;0;3
68;Pericoma;0;0;3;0
69;Phylloicus;0;0;3;0
70;Phytotelmatocladius;0;0;3;0
71;Pipiza;0;0;1;2
72;Platycrepidius;0;0;3;0
73;Polypedilum;0;0;3;0
74;Pristina;0;0;3;0
75;Pseudosinella;0;0;0;3
76;Psychoda;0;0;3;0
77;Quichuana;0;0;1;2
78;Rhabdomastrix;0;0;3;0
79;Rheocricotopus;0;0;3;0
80;Runchomyia;0;0;3;0
81;Scirtes;0;3;0;0
82;Sinella;0;0;0;3
83;Smittia;0;0;3;0
84;Sphaeromias;0;0;3;0
85;Stempellinella;0;0;3;0
86;Stenochironomus;0;0;3;0
87;Stibasoma;0;0;3;0
88;Stilobezzia;0;0;3;0
89;Tanytarsus;0;0;3;0
90;Telmatoscopus;0;0;3;0
91;Tipula;0;0;3;0
92;Toxorhynchites;0;0;3;0
93;Trentepohlia;0;0;3;0
94;Trigaster;NA;NA;NA;NA
95;Willowsia;0;0;0;3
96;Wyeomyia;0;0;3;0
97;Xilota;0;0;1;2
